site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,source_selection_id,site_status,maturity,enabled,tags,outlet_id,x,y,area_km2,mesh_manifest_status,mesh_output_mesh,mesh_summary_json,mesh_bundle_dir,mesh_figure,mesh_figure_regional,bundle_cell_count,bundle_missing_top_centroid_count,bundle_missing_bottom_centroid_count,bundle_missing_hydraulic_conductivity_count,bundle_missing_storage_coefficient_count,bundle_invalid_vertical_geometry_count,bundle_storage_default_value,bundle_boussinesq_steady_ready,bundle_boussinesq_transient_ready,notes
headwater_100km2_outlet_79,Headwater 100 km2 outlet 79,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,79,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_80,Headwater 100 km2 outlet 80,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,80,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_81,Headwater 100 km2 outlet 81,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,81,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_82,Headwater 100 km2 outlet 82,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,82,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_83,Headwater 100 km2 outlet 83,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,83,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_84,Headwater 100 km2 outlet 84,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,84,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_85,Headwater 100 km2 outlet 85,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,85,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_86,Headwater 100 km2 outlet 86,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,86,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_87,Headwater 100 km2 outlet 87,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,87,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_88,Headwater 100 km2 outlet 88,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,88,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_89,Headwater 100 km2 outlet 89,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,89,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_90,Headwater 100 km2 outlet 90,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,90,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_91,Headwater 100 km2 outlet 91,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,91,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_92,Headwater 100 km2 outlet 92,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,92,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_93,Headwater 100 km2 outlet 93,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,93,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_94,Headwater 100 km2 outlet 94,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,94,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_95,Headwater 100 km2 outlet 95,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,95,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_96,Headwater 100 km2 outlet 96,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,96,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_97,Headwater 100 km2 outlet 97,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,97,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_98,Headwater 100 km2 outlet 98,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,98,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_99,Headwater 100 km2 outlet 99,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,99,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_100,Headwater 100 km2 outlet 100,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,100,,,,,,,,,,,,,,,,,,,
